,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-01-01,51.2179503250809,-3.865765297203194,66.4025257730183,51.2179503250809,51.2179503250809,-21.584266675762773,-21.584266675762773,-21.584266675762773,-4.547453742562137,-4.547453742562137,-4.547453742562137,-17.036812933200636,-17.036812933200636,-17.036812933200636,0.0,0.0,0.0,29.633683649318126
1,2013-01-02,51.19266406003986,-3.5848771925732223,66.89424327720123,51.19266406003986,51.19266406003986,-21.431651902733265,-21.431651902733265,-21.431651902733265,-4.32311272437402,-4.32311272437402,-4.32311272437402,-17.108539178359244,-17.108539178359244,-17.108539178359244,0.0,0.0,0.0,29.761012157306595
2,2013-01-03,51.167377794998814,-0.3547394979882916,68.83576679883419,51.167377794998814,51.167377794998814,-17.78473705974946,-17.78473705974946,-17.78473705974946,-0.5898309137607491,-0.5898309137607491,-0.5898309137607491,-17.19490614598871,-17.19490614598871,-17.19490614598871,0.0,0.0,0.0,33.38264073524935
3,2013-01-04,51.142091529957774,4.125515983823785,69.04007917423196,51.142091529957774,51.142091529957774,-14.02145481829538,-14.02145481829538,-14.02145481829538,3.27158314359591,3.27158314359591,3.27158314359591,-17.29303796189129,-17.29303796189129,-17.29303796189129,0.0,0.0,0.0,37.12063671166239
4,2013-01-05,51.116805264916735,8.39800541438013,74.62145725322304,51.116805264916735,51.116805264916735,-10.061084732278239,-10.061084732278239,-10.061084732278239,7.338553062069957,7.338553062069957,7.338553062069957,-17.399637794348198,-17.399637794348198,-17.399637794348198,0.0,0.0,0.0,41.055720532638496
5,2013-01-06,51.091518999875696,9.917362641050353,78.08119172019556,51.091518999875696,51.091518999875696,-6.28343121864069,-6.28343121864069,-6.28343121864069,11.227680202761194,11.227680202761194,11.227680202761194,-17.511111421401882,-17.511111421401882,-17.511111421401882,0.0,0.0,0.0,44.808087781235
6,2013-01-07,51.06623273483465,-12.211412386418802,55.93472914659205,51.06623273483464,51.06623273483464,-30.00111268242623,-30.00111268242623,-30.00111268242623,-12.377419027690934,-12.377419027690934,-12.377419027690934,-17.623693654735295,-17.623693654735295,-17.623693654735295,0.0,0.0,0.0,21.06512005240842
7,2013-01-08,51.04094646979361,-4.883599828788025,62.08632509587166,51.04094646979361,51.04094646979361,-22.28102769847909,-22.28102769847909,-22.28102769847909,-4.5474537425615065,-4.5474537425615065,-4.5474537425615065,-17.73357395591758,-17.73357395591758,-17.73357395591758,0.0,0.0,0.0,28.75991877131452
8,2013-01-09,51.01566020475257,-2.9439105188550356,61.556320067278875,51.01566020475257,51.01566020475257,-22.160130436246114,-22.160130436246114,-22.160130436246114,-4.323112724393808,-4.323112724393808,-4.323112724393808,-17.837017711852308,-17.837017711852308,-17.837017711852308,0.0,0.0,0.0,28.855529768506457
9,2013-01-10,50.99037393971153,-1.3389062586766678,64.36789952860916,50.99037393971153,50.99037393971153,-18.520310776285648,-18.520310776285648,-18.520310776285648,-0.5898309138050515,-0.5898309138050515,-0.5898309138050515,-17.9304798624806,-17.9304798624806,-17.9304798624806,0.0,0.0,0.0,32.470063163425884
10,2013-01-11,50.965087674670485,3.097907300987959,72.65263001276006,50.965087674670485,50.965087674670485,-14.739124743321385,-14.739124743321385,-14.739124743321385,3.2715831435757265,3.2715831435757265,3.2715831435757265,-18.01070788689711,-18.01070788689711,-18.01070788689711,0.0,0.0,0.0,36.2259629313491
11,2013-01-12,50.939801409629446,6.71867953751752,75.28602570116244,50.93980140962944,50.93980140962944,-10.736278481577877,-10.736278481577877,-10.736278481577877,7.338553062057206,7.338553062057206,7.338553062057206,-18.07483154363508,-18.07483154363508,-18.07483154363508,0.0,0.0,0.0,40.20352292805157
12,2013-01-13,50.91451514458841,7.940697923636497,78.58140020243363,50.91451514458841,50.91451514458841,-6.892757011619871,-6.892757011619871,-6.892757011619871,11.22768020278078,11.22768020278078,11.22768020278078,-18.120437214400653,-18.120437214400653,-18.120437214400653,0.0,0.0,0.0,44.021758132968536
13,2013-01-14,50.889228879547375,-12.75671628603409,51.30958044792943,50.889228879547375,50.889228879547375,-30.523044231790966,-30.523044231790966,-30.523044231790966,-12.377419027680096,-12.377419027680096,-12.377419027680096,-18.145625204110868,-18.145625204110868,-18.145625204110868,0.0,0.0,0.0,20.36618464775641
14,2013-01-15,50.86394261450632,-5.687697379064166,61.63959751057912,50.86394261450632,50.86394261450632,-22.69650263096917,-22.69650263096917,-22.69650263096917,-4.547453742560874,-4.547453742560874,-4.547453742560874,-18.149048888408295,-18.149048888408295,-18.149048888408295,0.0,0.0,0.0,28.16743998353715
15,2013-01-16,50.83865634946528,-4.4617136516854545,62.33765358220954,50.83865634946528,50.83865634946528,-22.453047881458815,-22.453047881458815,-22.453047881458815,-4.323112724413599,-4.323112724413599,-4.323112724413599,-18.129935157045214,-18.129935157045214,-18.129935157045214,0.0,0.0,0.0,28.385608468006467
16,2013-01-17,50.81337008442425,-3.1515516199205402,67.13444120900759,50.81337008442425,50.81337008442425,-18.677917075268198,-18.677917075268198,-18.677917075268198,-0.5898309137786083,-0.5898309137786083,-0.5898309137786083,-18.088086161489592,-18.088086161489592,-18.088086161489592,0.0,0.0,0.0,32.13545300915605
17,2013-01-18,50.78808381938321,3.6875869876681486,67.47906319797836,50.78808381938321,50.78808381938321,-14.75227977824744,-14.75227977824744,-14.75227977824744,3.2715831435728164,3.2715831435728164,3.2715831435728164,-18.023862921820253,-18.023862921820253,-18.023862921820253,0.0,0.0,0.0,36.03580404113577
