,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-01-01,31.343517382264796,-1.5056485464949578,38.16914400016098,31.343517382264796,31.343517382264796,-13.260366929269237,-13.260366929269237,-13.260366929269237,-2.743122789050814,-2.743122789050814,-2.743122789050814,-10.517244140218423,-10.517244140218423,-10.517244140218423,0.0,0.0,0.0,18.08315045299556
1,2013-01-02,31.327844252313227,-4.499194949610333,37.16515069454841,31.327844252313227,31.327844252313227,-13.168208334483932,-13.168208334483932,-13.168208334483932,-2.622185447763592,-2.622185447763592,-2.622185447763592,-10.54602288672034,-10.54602288672034,-10.54602288672034,0.0,0.0,0.0,18.159635917829295
2,2013-01-03,31.312171122361665,-1.6434272091598388,41.66559785182218,31.312171122361665,31.312171122361665,-10.920992729076309,-10.920992729076309,-10.920992729076309,-0.3375666302738325,-0.3375666302738325,-0.3375666302738325,-10.583426098802477,-10.583426098802477,-10.583426098802477,0.0,0.0,0.0,20.391178393285358
3,2013-01-04,31.296497992410096,0.8533834519625954,43.0085457720433,31.296497992410096,31.296497992410096,-8.721967467986842,-8.721967467986842,-8.721967467986842,1.9060185303050432,1.9060185303050432,1.9060185303050432,-10.627985998291885,-10.627985998291885,-10.627985998291885,0.0,0.0,0.0,22.574530524423253
4,2013-01-05,31.280824862458534,3.030460643607601,46.437347266645034,31.280824862458534,31.280824862458534,-6.227226752195033,-6.227226752195033,-6.227226752195033,4.4507526960747334,4.4507526960747334,4.4507526960747334,-10.677979448269767,-10.677979448269767,-10.677979448269767,0.0,0.0,0.0,25.0535981102635
5,2013-01-06,31.265151732506965,5.800795751376997,47.03878116053474,31.265151732506965,31.265151732506965,-3.857384503925454,-3.857384503925454,-3.857384503925454,6.874112973704111,6.874112973704111,6.874112973704111,-10.731497477629565,-10.731497477629565,-10.731497477629565,0.0,0.0,0.0,27.407767228581513
6,2013-01-07,31.249478602555403,-8.929769728083436,33.93285790573544,31.249478602555406,31.249478602555406,-18.314525835616934,-18.314525835616934,-18.314525835616934,-7.528009332971622,-7.528009332971622,-7.528009332971622,-10.786516502645311,-10.786516502645311,-10.786516502645311,0.0,0.0,0.0,12.93495276693847
7,2013-01-08,31.233805472603834,-3.6848644884617814,40.073238242751955,31.233805472603834,31.233805472603834,-13.584091943365731,-13.584091943365731,-13.584091943365731,-2.743122789050389,-2.743122789050389,-2.743122789050389,-10.84096915431534,-10.84096915431534,-10.84096915431534,0.0,0.0,0.0,17.649713529238102
8,2013-01-09,31.218132342652265,-3.552883474606929,38.586865936168735,31.218132342652265,31.218132342652265,-13.514998149716593,-13.514998149716593,-13.514998149716593,-2.622185447775605,-2.622185447775605,-2.622185447775605,-10.892812701940988,-10.892812701940988,-10.892812701940988,0.0,0.0,0.0,17.70313419293567
9,2013-01-10,31.202459212700703,0.8471748043505009,42.53159630862117,31.202459212700703,31.202459212700703,-11.277659829383337,-11.277659829383337,-11.277659829383337,-0.3375666303009173,-0.3375666303009173,-0.3375666303009173,-10.940093199082419,-10.940093199082419,-10.940093199082419,0.0,0.0,0.0,19.924799383317364
